Country,Gender,Job Seniority,Age Range,Recent Status,Social Connectivity,Count
US,Male,Manager,25 to 34,Not promoted,Connected to big companies,47100
US,Male,Manager,25 to 34,Not promoted,Not connected,166060
US,Male,Manager,18 to 24,Recently promoted,Connected to big companies,550
US,Male,Manager,18 to 24,Recently promoted,Not connected,650
US,Male,Manager,18 to 24,Not promoted,Connected to big companies,5550
US,Male,Manager,18 to 24,Not promoted,Not connected,26250
US,Male,Senior,55+,Recently promoted,Not connected,790
US,Male,Senior,55+,Not promoted,Connected to big companies,64000
US,Male,Senior,55+,Not promoted,Not connected,105210
US,Male,Senior,35 to 54,Recently promoted,Connected to big companies,5000
US,Male,Senior,35 to 54,Recently promoted,Not connected,3000
US,Male,Senior,35 to 54,Not promoted,Connected to big companies,363200
US,Male,Senior,35 to 54,Not promoted,Not connected,516000
US,Male,Senior,25 to 34,Recently promoted,Connected to big companies,8800
US,Male,Senior,25 to 34,Recently promoted,Not connected,6200
US,Male,Senior,25 to 34,Not promoted,Connected to big companies,209300
US,Male,Senior,25 to 34,Not promoted,Not connected,532500
US,Male,Senior,18 to 24,Recently promoted,Connected to big companies,2000
US,Male,Senior,18 to 24,Recently promoted,Not connected,2200
US,Male,Senior,18 to 24,Not promoted,Connected to big companies,26000
US,Male,Senior,18 to 24,Not promoted,Not connected,89050
US,Male,Entry,55+,Not promoted,Connected to big companies,21000
US,Male,Entry,55+,Not promoted,Not connected,77000
US,Male,Entry,35 to 54,Not promoted,Connected to big companies,140000
US,Male,Entry,35 to 54,Not promoted,Not connected,458600
US,Male,Entry,25 to 34,Recently promoted,Connected to big companies,630
US,Male,Entry,25 to 34,Recently promoted,Not connected,470
US,Male,Entry,25 to 34,Not promoted,Connected to big companies,177670
US,Male,Entry,25 to 34,Not promoted,Not connected,917830
US,Male,Entry,18 to 24,Recently promoted,Connected to big companies,620
US,Male,Entry,18 to 24,Recently promoted,Not connected,780
US,Male,Entry,18 to 24,Not promoted,Connected to big companies,42380
US,Male,Entry,18 to 24,Not promoted,Not connected,234820
UK,Male,Director,55+,Not promoted,Connected to big companies,13000
UK,Male,Director,55+,Not promoted,Not connected,11900
UK,Male,Director,35 to 54,Recently promoted,Connected to big companies,1200
UK,Male,Director,35 to 54,Recently promoted,Not connected,600
UK,Male,Director,35 to 54,Not promoted,Connected to big companies,41300
UK,Male,Director,35 to 54,Not promoted,Not connected,44700
UK,Male,Director,25 to 34,Recently promoted,Not connected,930
UK,Male,Director,25 to 34,Not promoted,Connected to big companies,7470
UK,Male,Director,25 to 34,Not promoted,Not connected,27300
UK,Male,Director,18 to 24,Not promoted,Connected to big companies,760
UK,Male,Director,18 to 24,Not promoted,Not connected,3540
UK,Male,Manager,55+,Not promoted,Connected to big companies,4200
UK,Male,Manager,55+,Not promoted,Not connected,6800
UK,Male,Manager,35 to 54,Recently promoted,Connected to big companies,870
UK,Male,Manager,35 to 54,Recently promoted,Not connected,630
UK,Male,Manager,35 to 54,Not promoted,Connected to big companies,18730
UK,Male,Manager,35 to 54,Not promoted,Not connected,29070
UK,Male,Manager,25 to 34,Recently promoted,Connected to big companies,460
UK,Male,Manager,25 to 34,Recently promoted,Not connected,500
UK,Male,Manager,25 to 34,Not promoted,Connected to big companies,5310
UK,Male,Manager,25 to 34,Not promoted,Not connected,29530
UK,Male,Manager,18 to 24,Not promoted,Connected to big companies,480
UK,Male,Manager,18 to 24,Not promoted,Not connected,5820
UK,Male,Senior,55+,Not promoted,Connected to big companies,10500
UK,Male,Senior,55+,Not promoted,Not connected,20100
UK,Male,Senior,35 to 54,Recently promoted,Connected to big companies,1000
