Country,Gender,Job Seniority,Age Range,Recent Status,Social Connectivity,Count
UK,Male,Director,55+,Not relocated,Connected to big companies,13000
UK,Male,Director,55+,Not relocated,Not connected,11900
UK,Male,Director,35 to 54,Recently relocated,Connected to big companies,5500
UK,Male,Director,35 to 54,Recently relocated,Not connected,3700
UK,Male,Director,35 to 54,Not relocated,Connected to big companies,41300
UK,Male,Director,35 to 54,Not relocated,Not connected,44700
UK,Male,Director,25 to 34,Recently relocated,Connected to big companies,830
UK,Male,Director,25 to 34,Recently relocated,Not connected,1470
UK,Male,Director,25 to 34,Not relocated,Connected to big companies,7470
UK,Male,Director,25 to 34,Not relocated,Not connected,27300
UK,Male,Director,18 to 24,Not relocated,Connected to big companies,760
UK,Male,Director,18 to 24,Not relocated,Not connected,3540
UK,Male,Manager,55+,Not relocated,Connected to big companies,4200
UK,Male,Manager,55+,Not relocated,Not connected,6800
UK,Male,Manager,35 to 54,Recently relocated,Connected to big companies,2400
UK,Male,Manager,35 to 54,Recently relocated,Not connected,2300
UK,Male,Manager,35 to 54,Not relocated,Connected to big companies,18730
UK,Male,Manager,35 to 54,Not relocated,Not connected,29070
UK,Male,Manager,25 to 34,Recently relocated,Connected to big companies,630
UK,Male,Manager,25 to 34,Recently relocated,Not connected,1570
UK,Male,Manager,25 to 34,Not relocated,Connected to big companies,5310
UK,Male,Manager,25 to 34,Not relocated,Not connected,29530
UK,Male,Manager,18 to 24,Not relocated,Connected to big companies,480
UK,Male,Manager,18 to 24,Not relocated,Not connected,5820
UK,Male,Senior,55+,Recently relocated,Connected to big companies,1500
UK,Male,Senior,55+,Recently relocated,Not connected,1900
UK,Male,Senior,55+,Not relocated,Connected to big companies,10500
UK,Male,Senior,55+,Not relocated,Not connected,20100
UK,Male,Senior,35 to 54,Recently relocated,Connected to big companies,7300
UK,Male,Senior,35 to 54,Recently relocated,Not connected,7700
UK,Male,Senior,35 to 54,Not relocated,Connected to big companies,60700
UK,Male,Senior,35 to 54,Not relocated,Not connected,102300
UK,Male,Senior,25 to 34,Recently relocated,Connected to big companies,2800
UK,Male,Senior,25 to 34,Recently relocated,Not connected,6000
UK,Male,Senior,25 to 34,Not relocated,Connected to big companies,27100
UK,Male,Senior,25 to 34,Not relocated,Not connected,101500
UK,Male,Senior,18 to 24,Recently relocated,Not connected,1300
UK,Male,Senior,18 to 24,Not relocated,Connected to big companies,2700
UK,Male,Senior,18 to 24,Not relocated,Not connected,19430
UK,Male,Entry,55+,Recently relocated,Not connected,1600
UK,Male,Entry,55+,Not relocated,Connected to big companies,3900
UK,Male,Entry,55+,Not relocated,Not connected,12500
UK,Male,Entry,35 to 54,Recently relocated,Connected to big companies,2300
UK,Male,Entry,35 to 54,Recently relocated,Not connected,4900
UK,Male,Entry,35 to 54,Not relocated,Connected to big companies,21700
UK,Male,Entry,35 to 54,Not relocated,Not connected,71100
UK,Male,Entry,25 to 34,Recently relocated,Connected to big companies,1600
UK,Male,Entry,25 to 34,Recently relocated,Not connected,8100
UK,Male,Entry,25 to 34,Not relocated,Connected to big companies,19400
UK,Male,Entry,25 to 34,Not relocated,Not connected,170900
UK,Male,Entry,18 to 24,Recently relocated,Not connected,2500
UK,Male,Entry,18 to 24,Not relocated,Connected to big companies,3500
UK,Male,Entry,18 to 24,Not relocated,Not connected,49000
